symbol,date,dividend,updated_on
SMSM.JK,08-Aug-2024,35,2024-10-11 09:32:20
SMDR.JK,08-Aug-2024,2,2024-10-11 09:32:20
AMAR.JK,09-Aug-2024,2.65,2024-10-11 09:32:20
PSSI.JK,09-Aug-2024,28,2024-10-11 09:32:20
BSBK.JK,13-Aug-2024,1,2024-10-11 09:32:20
TEBE.JK,13-Aug-2024,15,2024-10-11 09:32:20
MARK.JK,16-Aug-2024,20,2024-10-11 09:32:20
JAYA.JK,19-Aug-2024,5,2024-10-11 09:32:20
NICL.JK,19-Aug-2024,5,2024-10-11 09:32:20
PPGL.JK,21-Aug-2024,4.54,2024-10-11 09:32:20
MLPT.JK,22-Aug-2024,110,2024-10-11 09:32:20
BPII.JK,30-Aug-2024,4.55,2024-10-11 09:32:20
IKBI.JK,03-Sep-2024,34.31,2024-10-11 09:32:20
GEMS.JK,03-Sep-2024,397.27,2024-10-11 09:32:20
ITMG.JK,10-Sep-2024,1228,2024-10-11 09:32:20
BTON.JK,20-Sep-2024,10,2024-10-11 09:32:20
EAST.JK,24-Sep-2024,1.25,2024-10-11 09:32:20
HEXA.JK,03-Oct-2024,714.7,2024-10-11 09:32:20
AALI.JK,04-Oct-2024,84,2024-10-11 09:32:20
UNTR.JK,08-Oct-2024,667,2024-10-11 09:32:20
TRIS.JK,10-Oct-2024,2.2457,2024-10-11 09:32:20
PPGL.JK,10-Oct-2024,2,2024-10-11 09:32:20
SICO.JK,11-Oct-2024,3,2024-10-11 09:32:20
ASII.JK,14-Oct-2024,98,2024-10-11 09:32:20
MEDC.JK,14-Oct-2024,15.75,2024-10-11 09:32:20
AUTO.JK,15-Oct-2024,57,2024-10-11 09:32:20
ASGR.JK,16-Oct-2024,19,2024-10-11 09:32:20
PLIN.JK,16-Oct-2024,67,2024-10-11 09:32:20
VICI.JK,18-Oct-2024,3.5,2024-10-11 09:32:20
PANI.JK,05-Jul-2024,2,2024-10-11 09:32:21
TOWR.JK,05-Jul-2024,18.1,2024-10-11 09:32:21
TEBE.JK,05-Jul-2024,15,2024-10-11 09:32:21
MAPI.JK,08-Jul-2024,8,2024-10-11 09:32:21
SIMP.JK,08-Jul-2024,10,2024-10-11 09:32:21
LSIP.JK,08-Jul-2024,39,2024-10-11 09:32:21
NCKL.JK,08-Jul-2024,26.716,2024-10-11 09:32:21
BYAN.JK,08-Jul-2024,146.385,2024-10-11 09:32:21
WEHA.JK,08-Jul-2024,6,2024-10-11 09:32:21
CSAP.JK,08-Jul-2024,7,2024-10-11 09:32:21
KKGI.JK,08-Jul-2024,50,2024-10-11 09:32:21
MAPA.JK,08-Jul-2024,5,2024-10-11 09:32:21
MREI.JK,08-Jul-2024,15,2024-10-11 09:32:21
UFOE.JK,08-Jul-2024,1.4,2024-10-11 09:32:21
FISH.JK,08-Jul-2024,340,2024-10-11 09:32:21
CITA.JK,09-Jul-2024,117,2024-10-11 09:32:21
SMIL.JK,09-Jul-2024,1.9,2024-10-11 09:32:21
FILM.JK,09-Jul-2024,25,2024-10-11 09:32:21
ICBP.JK,09-Jul-2024,200,2024-10-11 09:32:21
INDF.JK,09-Jul-2024,267,2024-10-11 09:32:21
TCPI.JK,09-Jul-2024,10,2024-10-11 09:32:21
RMKE.JK,09-Jul-2024,7,2024-10-11 09:32:21
SOHO.JK,09-Jul-2024,12,2024-10-11 09:32:21
MHKI.JK,09-Jul-2024,0.76,2024-10-11 09:32:21
CRSN.JK,09-Jul-2024,2.35,2024-10-11 09:32:21
ISSP.JK,09-Jul-2024,15,2024-10-11 09:32:21
INCI.JK,09-Jul-2024,35,2024-10-11 09:32:21
AMIN.JK,16-Jul-2024,5,2024-10-11 09:32:21
AKRA.JK,05-Aug-2024,50,2024-10-11 09:32:21
KLAS.JK,03-Jul-2024,2.5,2024-10-11 09:32:21
RDTX.JK,03-Jul-2024,360,2024-10-11 09:32:21
AGII.JK,03-Jul-2024,10.8,2024-10-11 09:32:21
BSSR.JK,03-Jul-2024,345.15,2024-10-11 09:32:21
MDKI.JK,03-Jul-2024,12,2024-10-11 09:32:21
MYOH.JK,03-Jul-2024,22.29,2024-10-11 09:32:21
LFLO.JK,04-Jul-2024,4,2024-10-11 09:32:21
AMAN.JK,04-Jul-2024,1,2024-10-11 09:32:21
LION.JK,04-Jul-2024,5,2024-10-11 09:32:21
TALF.JK,04-Jul-2024,8,2024-10-11 09:32:21
ASDM.JK,04-Jul-2024,40,2024-10-11 09:32:21
LIFE.JK,04-Jul-2024,38,2024-10-11 09:32:21
CLPI.JK,04-Jul-2024,128.25,2024-10-11 09:32:21
SRSN.JK,04-Jul-2024,1,2024-10-11 09:32:21
MICE.JK,04-Jul-2024,10,2024-10-11 09:32:21
BLUE.JK,04-Jul-2024,25,2024-10-11 09:32:21
HOKI.JK,04-Jul-2024,1,2024-10-11 09:32:21
