symbol,date,dividend,updated_on
IMJS.JK,01-Jul-2024,0.75,2024-10-10 15:43:41
ALDO.JK,01-Jul-2024,1,2024-10-10 15:43:41
UNVR.JK,01-Jul-2024,77,2024-10-10 15:43:41
DOID.JK,02-Jul-2024,10.64,2024-10-10 15:43:41
BAYU.JK,02-Jul-2024,75,2024-10-10 15:43:41
CAMP.JK,02-Jul-2024,20,2024-10-10 15:43:41
SOSS.JK,02-Jul-2024,10,2024-10-10 15:43:41
PANS.JK,02-Jul-2024,180,2024-10-10 15:43:41
MITI.JK,02-Jul-2024,3,2024-10-10 15:43:41
GPRA.JK,02-Jul-2024,5,2024-10-10 15:43:41
WGSH.JK,02-Jul-2024,1,2024-10-10 15:43:41
MKPI.JK,02-Jul-2024,535,2024-10-10 15:43:41
AMFG.JK,02-Jul-2024,80,2024-10-10 15:43:41
SSIA.JK,02-Jul-2024,12,2024-10-10 15:43:41
SMSM.JK,02-Jul-2024,40,2024-10-10 15:43:41
IDPR.JK,02-Jul-2024,5,2024-10-10 15:43:41
SMKM.JK,03-Jul-2024,0.5,2024-10-10 15:43:41
CBPE.JK,03-Jul-2024,1,2024-10-10 15:43:41
TSPC.JK,03-Jul-2024,75,2024-10-10 15:43:41
SAMF.JK,03-Jul-2024,41,2024-10-10 15:43:41
SUNI.JK,25-Jun-2024,4.4,2024-10-10 15:43:42
SCMA.JK,25-Jun-2024,5,2024-10-10 15:43:42
MYOR.JK,25-Jun-2024,55,2024-10-10 15:43:42
ERAL.JK,25-Jun-2024,10,2024-10-10 15:43:42
BUDI.JK,25-Jun-2024,4,2024-10-10 15:43:42
TBLA.JK,25-Jun-2024,40,2024-10-10 15:43:42
EMTK.JK,25-Jun-2024,4,2024-10-10 15:43:42
IPCM.JK,25-Jun-2024,18.61,2024-10-10 15:43:42
KKES.JK,26-Jun-2024,0.5,2024-10-10 15:43:42
PNSE.JK,26-Jun-2024,2,2024-10-10 15:43:42
ARTA.JK,26-Jun-2024,3,2024-10-10 15:43:42
BIRD.JK,26-Jun-2024,91,2024-10-10 15:43:42
GMTD.JK,27-Jun-2024,2.3,2024-10-10 15:43:42
PTPS.JK,27-Jun-2024,2.2,2024-10-10 15:43:42
TBMS.JK,27-Jun-2024,41.05,2024-10-10 15:43:42
BRPT.JK,27-Jun-2024,0.873,2024-10-10 15:43:42
GLVA.JK,27-Jun-2024,15,2024-10-10 15:43:42
PBSA.JK,27-Jun-2024,13,2024-10-10 15:43:42
UNIC.JK,27-Jun-2024,286,2024-10-10 15:43:42
BALI.JK,27-Jun-2024,20,2024-10-10 15:43:42
HUMI.JK,27-Jun-2024,1,2024-10-10 15:43:42
UANG.JK,27-Jun-2024,8.26,2024-10-10 15:43:42
SPMA.JK,27-Jun-2024,12,2024-10-10 15:43:42
PDPP.JK,27-Jun-2024,3.33,2024-10-10 15:43:42
NELY.JK,28-Jun-2024,15,2024-10-10 15:43:42
GEMA.JK,28-Jun-2024,5,2024-10-10 15:43:42
BEER.JK,28-Jun-2024,0.41,2024-10-10 15:43:42
RAAM.JK,28-Jun-2024,4,2024-10-10 15:43:42
ERAA.JK,28-Jun-2024,17,2024-10-10 15:43:42
MSJA.JK,28-Jun-2024,5,2024-10-10 15:43:42
SMAR.JK,14-Jun-2024,95,2024-10-10 15:43:44
DSNG.JK,14-Jun-2024,22,2024-10-10 15:43:44
WIFI.JK,19-Jun-2024,1.06,2024-10-10 15:43:44
ZONE.JK,19-Jun-2024,16.15,2024-10-10 15:43:44
DEPO.JK,19-Jun-2024,4,2024-10-10 15:43:44
HYGN.JK,19-Jun-2024,2.16,2024-10-10 15:43:44
PUDP.JK,19-Jun-2024,10,2024-10-10 15:43:44
PNGO.JK,20-Jun-2024,52,2024-10-10 15:43:44
KBLI.JK,20-Jun-2024,8,2024-10-10 15:43:44
CRAB.JK,20-Jun-2024,2,2024-10-10 15:43:44
ACES.JK,20-Jun-2024,33.5,2024-10-10 15:43:44
KEEN.JK,20-Jun-2024,7.55,2024-10-10 15:43:44
IFII.JK,20-Jun-2024,5,2024-10-10 15:43:44
OMED.JK,20-Jun-2024,2.88,2024-10-10 15:43:44
KBLM.JK,21-Jun-2024,8,2024-10-10 15:43:44
IPCC.JK,21-Jun-2024,62.39,2024-10-10 15:43:44
AXIO.JK,24-Jun-2024,8,2024-10-10 15:43:44
RSGK.JK,24-Jun-2024,11,2024-10-10 15:43:44
DVLA.JK,24-Jun-2024,65,2024-10-10 15:43:44
BRAM.JK,24-Jun-2024,200,2024-10-10 15:43:44
SHIP.JK,24-Jun-2024,20,2024-10-10 15:43:44
SCCO.JK,24-Jun-2024,75,2024-10-10 15:43:44
ZYRX.JK,24-Jun-2024,3.7,2024-10-10 15:43:44
JTPE.JK,24-Jun-2024,6,2024-10-10 15:43:44
PWON.JK,25-Jun-2024,9,2024-10-10 15:43:44
GDST.JK,25-Jun-2024,6,2024-10-10 15:43:44
KOCI.JK,25-Jun-2024,3,2024-10-10 15:43:44
MLBI.JK,25-Jun-2024,396,2024-10-10 15:43:44
INDS.JK,25-Jun-2024,100,2024-10-10 15:43:44
MTLA.JK,25-Jun-2024,10.91,2024-10-10 15:43:44
IDEA.JK,10-Jun-2024,0.5,2024-10-10 15:43:45
BMHS.JK,10-Jun-2024,0.56,2024-10-10 15:43:45
STAA.JK,10-Jun-2024,27,2024-10-10 15:43:45
GRPM.JK,10-Jun-2024,1.5,2024-10-10 15:43:45
CLEO.JK,10-Jun-2024,5.05,2024-10-10 15:43:45
MEDC.JK,10-Jun-2024,29.322,2024-10-10 15:43:45
BOLT.JK,10-Jun-2024,35,2024-10-10 15:43:45
PSGO.JK,10-Jun-2024,8,2024-10-10 15:43:45
PGAS.JK,10-Jun-2024,148.3060679659,2024-10-10 15:43:45
SILO.JK,10-Jun-2024,20,2024-10-10 15:43:45
GHON.JK,11-Jun-2024,165,2024-10-10 15:43:45
SDPC.JK,11-Jun-2024,2.5,2024-10-10 15:43:45
APLI.JK,11-Jun-2024,5.5,2024-10-10 15:43:45
MTEL.JK,11-Jun-2024,18.2746,2024-10-10 15:43:45
MLIA.JK,11-Jun-2024,15,2024-10-10 15:43:45
SMCB.JK,11-Jun-2024,29.7574185,2024-10-10 15:43:45
GEMS.JK,11-Jun-2024,410.42,2024-10-10 15:43:45
WINE.JK,12-Jun-2024,2.35,2024-10-10 15:43:45
FWCT.JK,12-Jun-2024,7,2024-10-10 15:43:45
MTDL.JK,12-Jun-2024,21,2024-10-10 15:43:45
TOTO.JK,12-Jun-2024,9,2024-10-10 15:43:45
BPII.JK,12-Jun-2024,5.5,2024-10-10 15:43:45
NTBK.JK,12-Jun-2024,0.1565,2024-10-10 15:43:45
JRPT.JK,13-Jun-2024,24,2024-10-10 15:43:45
MIKA.JK,13-Jun-2024,34,2024-10-10 15:43:45
VISI.JK,14-Jun-2024,1,2024-10-10 15:43:45
SPTO.JK,14-Jun-2024,25,2024-10-10 15:43:45
CHIP.JK,14-Jun-2024,3.05,2024-10-10 15:43:45
JKON.JK,14-Jun-2024,4.25,2024-10-10 15:43:45
CHEM.JK,14-Jun-2024,0.13,2024-10-10 15:43:45
KDSI.JK,04-Jun-2024,99,2024-10-10 15:43:46
BFIN.JK,04-Jun-2024,27,2024-10-10 15:43:46
LAJU.JK,05-Jun-2024,0.89,2024-10-10 15:43:46
IKPM.JK,05-Jun-2024,2.25,2024-10-10 15:43:46
SGRO.JK,05-Jun-2024,121,2024-10-10 15:43:46
BISI.JK,05-Jun-2024,80,2024-10-10 15:43:46
PTSN.JK,05-Jun-2024,6.73008,2024-10-10 15:43:46
WIIM.JK,05-Jun-2024,107.1,2024-10-10 15:43:46
BBMD.JK,05-Jun-2024,34.27,2024-10-10 15:43:46
EAST.JK,05-Jun-2024,1.5,2024-10-10 15:43:46
PGEO.JK,06-Jun-2024,47.7736410977296,2024-10-10 15:43:46
MSTI.JK,06-Jun-2024,99.84,2024-10-10 15:43:46
VICI.JK,06-Jun-2024,7,2024-10-10 15:43:46
